schema,field,current_frontend_alias,api_type,required,unit,meaning,decision_or_constraint
RepairOrder,recordId,new stable row identity,string,yes,identifier,Unique reporting row ID across tenants/dealers/source systems.,Do not use displayed RO number as a global primary key.
RepairOrder,roNumber,ro,string,yes,display identifier,Source repair-order number kept as text.,Confirm reuse and source composite key.
RepairOrder,dealerId,dealer selection,string | null,yes,identifier,Stable dealer ID used for permissions and selections.,Server intersects with authorized dealer scope.
RepairOrder,dealerCode,dealer display,string | null,yes,label,Dealer code shown by current charts and tables.,May differ from dealerId; allow missing category.
RepairOrder,dealerType,type,string | null,yes,label,Source dealer classification.,Literal NULL in fixture is not a canonical classification.
RepairOrder,make,make,string | null,yes,label,Vehicle make label.,"Source, not inferred from synthetic fixture VIN."
RepairOrder,model,model,string | null,yes,label,Vehicle model label.,Allow unknown values.
RepairOrder,vin,vin,string | null,yes,identifier,Vehicle identification number used by VIN groups.,Unknown VIN does not identify a single real vehicle.
RepairOrder,closedDate,date,string,yes,business date,Inclusive-filter business close date.,Agree reporting timezone and reopened-order rules.
RepairOrder,managerId,manager selection,string | null,yes,identifier,Stable historical manager identity.,Agree time-of-close versus current assignment.
RepairOrder,managerName,manager display,string | null,yes,label,Manager label displayed by chart and filter.,Names are not unique identifiers.
RepairOrder,advisorId,advisor selection,string | null,yes,identifier,Stable service-advisor identity.,Agree historical assignment semantics.
RepairOrder,advisorName,advisor display,string | null,yes,label,Service-advisor display name.,Names are not unique identifiers.
RepairOrder,status,status,Status,yes,enum,fully_recovered or partially_recovered mapped to current labels.,Current loss > 0 includes zero recovery in partial; agree over-recovery.
RepairOrder,currency,currently USD formatting,string,yes,ISO 4217,Currency of all monetary amounts on this record.,Reject mixed-currency totals or apply an agreed conversion policy.
RepairOrder,sourceRevision,new,string,yes,source version,Upstream revision/watermark used for ingestion traceability.,Never blindly overwrite newer rows with an older source event.
RepairOrder,unrecoveredPercent,percent,number,yes,percentage points,Canonical row shortfall percentage.,Agree source-provided versus high-precision derived value; use same for display/sort/export.
RepairOrder,expectedShopSupplies,expected,Decimal,yes,currency,Expected shop-supplies charge.,Source amount or approved rate/cap policy; not hard-coded 119.
